PropertyID,PetFriendly,WiFi,TV,AirConditioning,Pool,FreeParking
177,False,True,True,True,False,True
360,False,True,True,True,False,False
364,False,True,True,True,False,True
590,False,True,False,False,False,True
592,False,True,False,True,False,True
686,False,True,True,True,False,False
1940,False,True,True,True,False,False
31503,False,True,True,False,False,False
39405,False,True,True,True,False,True
81540,False,True,True,True,False,True
90307,False,True,False,True,False,True
154999,False,True,True,False,False,False
172196,False,True,True,True,False,True
192430,False,True,True,False,False,True
217996,False,True,True,True,False,True
236207,False,True,True,True,False,False
283162,False,True,True,True,True,True
286732,False,True,False,True,False,False
364585,False,True,True,True,False,True
370209,False,True,True,True,False,True
477016,False,True,True,True,False,False
504080,False,True,True,False,False,True
521072,False,True,True,True,False,True
548897,False,True,False,True,False,True
575758,False,True,True,False,False,False
632709,False,True,True,False,False,False
665622,False,True,True,True,False,True
676825,False,True,True,True,False,False
715123,False,True,True,True,False,True
732845,False,True,True,True,False,True
746298,False,True,True,True,False,True
756594,False,True,True,False,False,False
761858,False,True,False,False,False,True
774712,False,True,True,True,False,False
776434,False,True,True,True,False,False
785140,False,True,True,True,False,True
787456,False,True,False,True,False,True
834896,False,True,True,True,False,True
852934,False,True,True,False,False,True
915016,False,True,True,False,False,True
921485,False,True,True,True,False,True
953052,False,True,True,False,False,False
958612,False,True,True,False,True,False
1004131,False,True,True,True,False,False
1041934,False,True,False,True,False,True
1042331,False,True,False,True,False,True
1069351,False,True,True,True,False,True
1074386,False,True,True,True,False,True
1082572,False,True,True,True,False,True
1143676,False,True,True,True,False,True
1153002,False,True,True,True,False,True
1220547,False,True,True,True,True,False
1223593,False,True,False,False,False,False
1223612,False,True,False,False,False,False
1236000,False,True,True,True,True,False
1240215,False,True,True,True,True,False
1243170,False,True,True,True,False,True
1291679,False,True,True,True,True,False
1311993,False,True,True,True,True,False
1313699,False,True,True,True,False,True
1315853,False,True,True,True,True,False
1339519,False,True,True,True,True,False
1397309,False,True,True,True,True,False
1402409,False,True,True,True,False,True
1454673,False,True,True,True,False,True
1529804,False,True,False,True,False,True
1581384,False,True,True,True,False,False
1583103,False,True,True,True,False,True
1594161,False,True,True,False,False,False
1637744,False,True,True,True,False,False
1641476,False,True,True,False,False,False
1733052,False,True,True,True,False,True
1737365,False,True,True,True,False,False
1785877,False,True,False,False,False,False
1792152,False,True,True,True,False,True
1801950,False,True,True,True,False,False
1900638,False,True,True,False,False,False
1901266,False,True,True,False,False,False
1905596,False,True,True,True,False,True
1915301,False,True,True,True,False,True
1955800,False,True,True,True,True,False
1959836,False,True,False,False,False,False
1966103,False,True,True,True,False,True
2104774,False,True,True,True,False,False
2119667,False,True,True,False,False,True
2139342,False,True,True,True,False,True
2153985,False,True,True,True,False,True
2175370,False,True,True,False,False,False
2216969,False,True,True,True,False,True
2232323,False,True,True,True,False,True
2239191,False,True,True,True,False,True
2243316,False,True,True,True,False,False
2267500,False,True,True,False,False,False
2361919,False,True,False,False,False,True
2386289,False,True,True,True,False,False
2441900,False,True,True,True,False,False
2466830,False,True,True,True,False,True
2467260,False,True,True,False,False,True
2487185,False,True,True,True,False,True
2599115,False,True,True,True,False,True
2653512,False,True,True,True,False,True
2723629,False,True,False,True,False,True
2817786,False,True,False,True,False,False
2827887,False,False,False,False,False,True
2875696,False,False,True,True,False,True
2908978,False,True,True,True,False,True
2942068,False,False,False,False,False,True
2957097,False,True,True,True,False,False
2960513,False,True,True,False,False,True
2975710,False,True,True,True,False,True
2979736,False,True,True,True,False,True
2998222,False,True,True,True,False,True
3094167,False,True,True,True,False,False
3138055,False,True,True,True,False,True
3150813,False,True,True,True,False,False
3183154,False,True,True,False,False,True
3231657,False,True,True,True,False,False
3280195,False,True,True,True,False,True
3280778,False,True,True,True,False,True
3334447,False,True,True,True,False,False
3338717,False,True,True,True,False,True
3341556,False,True,True,True,False,False
3404692,False,True,True,True,False,True
3458369,False,True,True,True,False,False
3463164,False,True,True,True,False,True
3479122,False,True,True,True,False,True
3495498,False,True,True,True,False,True
3542624,False,True,True,False,False,True
3562277,False,True,True,True,False,True
3605358,False,True,False,False,False,True
3661135,False,True,True,True,False,True
3685552,False,True,False,True,False,True
3799043,False,True,True,True,False,True
3828739,False,True,True,True,False,False
3829793,False,True,True,True,False,True
3939645,False,True,True,True,False,True
3960763,False,True,True,True,False,True
4000181,False,True,True,True,False,True
4052272,False,True,True,True,False,False
4080404,False,True,True,True,False,True
4121643,False,True,True,True,False,True
4121807,False,True,True,True,False,False
4137490,False,True,True,True,True,True
4150242,False,True,False,True,False,True
4180622,False,True,True,False,False,False
4219371,False,True,True,True,False,True
4227772,False,True,True,True,False,True
4236002,False,True,True,True,False,True
4241536,False,True,True,True,False,True
4267851,False,True,True,False,False,False
4288813,False,True,True,True,False,False
4294257,False,True,True,True,False,True
4295637,False,True,True,True,True,True
4350594,False,True,True,True,False,True
4383018,False,True,True,True,False,True
4384783,False,True,True,True,False,True
4416289,False,True,True,True,False,True
4504068,False,True,True,False,False,True
4540903,False,True,True,False,False,True
4545539,False,True,True,False,False,True
4556950,False,True,True,True,True,True
4556956,False,True,True,True,True,True
4574082,False,True,True,True,False,True
4581251,False,True,False,True,False,False
4604416,False,True,True,True,False,True
4617226,False,True,True,False,False,True
4637460,False,True,False,True,False,True
4638352,False,True,True,True,False,True
4671545,False,True,True,True,False,False
4671735,False,True,True,True,True,True
4718459,False,True,True,True,False,True
4727890,False,True,True,True,False,True
4753876,False,True,True,True,False,False
4758581,False,True,True,True,False,True
4766503,False,True,True,True,False,False
4817072,False,True,True,False,False,True
4951295,False,True,True,True,False,True
4964614,False,True,False,True,False,False
4978830,False,True,True,True,False,True
4992412,False,False,False,False,False,True
5010213,False,True,True,True,False,True
5070640,False,True,True,True,False,True
5141965,False,True,True,False,False,True
5164075,False,True,True,True,False,False
5184333,False,True,True,True,False,True
5334219,False,True,True,True,False,True
5343759,False,True,True,True,False,True
5379218,False,True,True,False,False,True
5385231,False,True,True,True,True,False
5414477,False,True,True,True,False,True
5491785,False,True,True,True,False,False
5500958,False,True,True,True,False,True
5508840,False,True,True,True,True,True
5531293,False,True,False,True,False,True
5558992,False,True,True,True,False,False
5691532,False,True,True,True,True,False
5691878,False,True,True,True,True,False
5706497,False,True,True,True,True,False
5717755,False,True,True,True,False,True
5746214,False,True,True,True,False,True
5794938,False,True,True,True,False,True
5814645,False,True,True,True,False,True
5921927,False,False,True,False,False,True
5966633,False,True,True,True,False,True
5967830,False,True,True,False,False,True
5968656,False,True,True,True,False,True
5990927,False,True,True,True,False,True
6044888,False,True,True,False,False,True
6065081,False,True,True,True,False,True
6141491,False,True,True,True,False,True
6300806,False,True,False,True,False,True
6348993,False,True,True,True,False,True
6349335,False,True,True,True,False,True
6357426,False,True,True,True,True,False
6373869,False,True,True,True,False,False
6374807,False,True,True,True,False,False
6410804,False,True,True,True,False,True
6416196,False,True,True,True,False,True
6445171,False,True,True,True,False,False
6516553,False,True,False,False,False,False
6578731,False,True,False,True,False,True
6678066,False,True,True,True,False,False
6730800,False,True,True,True,False,True
6796745,False,True,True,True,False,True
6846954,False,True,True,True,False,True
6854536,False,True,True,False,False,True
6869896,True,True,True,True,False,True
6913874,False,False,True,False,False,False
6954236,False,True,True,True,False,True
7047991,False,True,True,False,False,False
7070662,False,True,True,True,False,True
7070674,False,True,True,True,False,False
7071425,True,True,True,True,False,False
7091323,False,True,True,True,False,True
7181062,False,True,True,True,False,False
7199544,False,True,True,True,False,False
7205120,False,True,True,False,False,True
7247567,False,True,False,True,False,True
7336200,False,True,False,True,False,True
7348580,False,True,True,True,False,True
7349270,False,True,True,True,False,True
7400184,False,True,True,True,False,True
7481785,False,True,True,False,False,False
7544056,False,True,True,True,False,True
7557038,False,True,True,True,False,True
7584529,False,True,True,True,False,False
7592378,False,True,True,True,False,True
7594762,False,True,True,True,False,False
7603546,False,True,True,False,False,False
7776227,False,True,True,True,False,True
7780920,False,True,True,True,False,True
7789164,False,True,True,False,False,True
7808218,False,True,True,True,False,True
7819520,False,True,True,True,False,True
7826191,False,True,True,True,False,True
7843605,False,True,True,True,False,True
7912052,False,True,True,False,False,True
7913963,False,True,True,True,False,True
7919653,False,True,True,True,False,True
