NeighborhoodID,NeighborhoodName
1,Washington Virginia Vale
2,Highland
3,Five Points
4,North Park Hill
5,North Capitol Hill
6,Baker
7,West Highland
8,Overland
9,South Park Hill
10,CBD
11,Washington Park
12,Union Station
13,Washington Park West
14,City Park West
15,Clayton
16,Stapleton
17,Platt Park
18,Lowry Field
19,Sunnyside
20,Congress Park
21,Goldsmith
22,Capitol Hill
23,Berkeley
24,Lincoln Park
25,Cole
26,Cheesman Park
27,University
28,West Colfax
29,Speer
30,Sloan Lake
31,Hilltop
32,Country Club
33,Cory - Merrill
34,City Park
35,Athmar Park
36,Gateway - Green Valley Ranch
37,Rosedale
38,Whittier
39,Fort Logan
40,Skyland
41,Windsor
42,Hale
43,Cherry Creek
44,Bear Valley
45,Harvey Park
46,Hampden South
47,Civic Center
48,Jefferson Park
49,Montclair
50,Harvey Park South
51,Regis
52,University Park
53,Wellshire
54,Hampden
55,Barnum West
56,Virginia Village
57,Barnum
58,University Hills
59,Northeast Park Hill
60,East Colfax
61,Villa Park
62,Chaffee Park
63,Belcaro
64,Ruby Hill
65,Indian Creek
66,Globeville
67,Montbello
68,DIA
69,College View - South Platte
70,Mar Lee
71,Westwood
72,Valverde
73,Sun Valley
74,Elyria Swansea
75,Kennedy
76,Marston
77,Southmoor Park
78,Auraria
79,LoDo
