NeighborhoodName,NeighborhoodID
Washington Virginia Vale,1
Highland,2
Five Points,3
North Park Hill,4
North Capitol Hill,5
Baker,6
West Highland,7
Overland,8
South Park Hill,9
CBD,10
Washington Park,11
Union Station,12
Washington Park West,13
City Park West,14
Clayton,15
Stapleton,16
Platt Park,17
Lowry Field,18
Sunnyside,19
Congress Park,20
Goldsmith,21
Capitol Hill,22
Berkeley,23
Lincoln Park,24
Cole,25
Cheesman Park,26
University,27
West Colfax,28
Speer,29
Sloan Lake,30
Hilltop,31
Country Club,32
Cory - Merrill,33
City Park,34
Athmar Park,35
Gateway - Green Valley Ranch,36
Rosedale,37
Whittier,38
Fort Logan,39
Skyland,40
Windsor,41
Hale,42
Cherry Creek,43
Bear Valley,44
Harvey Park,45
Hampden South,46
Civic Center,47
Jefferson Park,48
Montclair,49
Harvey Park South,50
Regis,51
University Park,52
Wellshire,53
Hampden,54
Barnum West,55
Virginia Village,56
Barnum,57
University Hills,58
Northeast Park Hill,59
East Colfax,60
Villa Park,61
Chaffee Park,62
Belcaro,63
Ruby Hill,64
Indian Creek,65
Globeville,66
Montbello,67
DIA,68
College View - South Platte,69
Mar Lee,70
Westwood,71
Valverde,72
Sun Valley,73
Elyria Swansea,74
Kennedy,75
Marston,76
Southmoor Park,77
Auraria,78
