PHONE,CITY,ZIP,URL,MAJOR,POI_NAME,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,STATE
 ,Denver,0.0, , ,Colorado State Bank Building,None,1600 Broadway,None,None
 ,Denver,0.0, , ,1999 Broadway,None,1999 Broadway,None,None
 ,Denver,0.0, , ,Hyatt Regency,None,1750 Welton St.,None,None
303-777-4441,Denver,80209.0,http://www.du.edu/phipps/, ,Phipps Mansion,None,3400 Belcaro Dr.,None,None
303-571-4401,Denver,80204.0,http://www.museo.org/, ,Museo de las Americas,None,861 Santa Fe Dr.,None,None
303-322-1053,Denver,0.0, , ,"Denver Museum of Miniatures, Dolls and Toys",None,1880 Gaylord St.,None,None
303-322-7009,Denver,80205.0,http://www.dmns.org/, ,Denver Museum of Nature and Science,None,2001 Colorado Blvd.,None,None
303-260-6000,Denver,80202.0,http://www.denverpavilions.com, ,Denver Pavilions Shopping Center,None,500 16th St.,None,None
303-296-0219,Denver,80216.0,http://www.suteatro.org/, ,El Centro Su Teatro,None,4725 High St.,None,None
303-761-0117,Denver,80235.0, , ,Fort Logan National Cemetery,None,3698 S. Sheridan Blvd.,None,None
303-866-3682,Denver,0.0, , ,Governor's Mansion,None,400 E. 8th Ave.,None,None
303-894-2505,Denver,80203.0, , ,Grant-Humphreys Mansion,None,770 Pennsylvania St.,None,None
303-446-9207,Denver,80220.0, , ,Houston Fine Arts Center,None,7111 Montview Blvd.,None,None
303-322-7009,Denver,80205.0,http://www.dmnh.org/imax.htm, ,Imax Theatre and Gates Planetarium,None,2001 Colorado Blvd.,None,None
303-744-6883,Denver,80203.0,http://www.landmarktheatres.com/Market/Denver/MayanTheatre.htm, ,Mayan Theater,None,110 Broadway St.,None,None
303-556-2400,Denver,80204.0,http://www.mscd.edu/,YES,Metropolitan State College of Denver,None,1380 Lawrence St.,None,None
303-458-4850,Denver,0.0, ,YES,Invesco Field at Mile High Stadium,None,2755 W. 17th Ave.,None,None
303-399-2660,Denver,80246.0,http://www.mizelarts.org/, ,Mizel Arts Center,None,350 S. Dahlia St.,None,None
303-832-4092,Denver,80203.0,http://www.mollybrown.org/,YES,Molly Brown House Museum,None,1340 Pennsylvania St.,None,None
303-297-1166,Denver,80216.0,http://www.nationalwestern.com, ,National Western Complex,None,4655 Humboldt St.,None,None
303-561-4450,Denver,80211.0,http://www.oceanjourney.com/,YES,Ocean Journey,None,700 Water St.,None,None
303-831-9448,Denver,80218.0, , ,Ogden Theatre,None,935 E. Colfax Ave.,None,None
303-388-3900,Denver,80206.0,http://www.taubman.com/shopcen/frmsets/1024/html/locater/1024fr, ,Cherry Creek Shopping Center,None,3000 E. 1st Ave.,None,None
303-825-4904,Denver,80202.0, ,YES,Paramount Theater,None,1631 Glenarm Pl.,None,None
303-458-4900,Denver,80221.0,http://www.regis.edu/,YES,Regis University,None,3333 Regis Blvd.,None,None
 ,Denver,80220.0, , ,Richthofen Castle,None,7020 E. 12th Ave.,None,None
303-871-2336,Denver,80208.0,http://www.du.edu/RitchieCenter/, ,Ritchie Events Center,None,2240 E. Buchtel Blvd.,None,None
303-866-2604,Denver,80203.0,http://www.archives.state.co.us/cap/first.htm,YES,State Capitol,None,200 E. Colfax Ave.,None,None
303-572-6868,Denver,80202.0, , ,Tabor Center,None,"1201 16th St., Suite 120",None,None
303-936-8441,Denver,80236.0,http://www.tlhu.edu/, ,Teikyo Loretto Heights,None,3001 S. Federal Blvd.,None,None
303-534-1012,Denver,80202.0, ,YES,Union Station,None,1701 Wynkoop St.,None,None
303-405-4761,Denver,80204.0,http://www.usmint.gov/mint_tours/index.cfm?action=denver,YES,United States Mint at Denver,None,320 W. Colfax Ave.,None,None
303-399-1859,Denver,80246.0,http://denvergov.com/dephome.asp?depid=105, ,Four Mile House and Historic Park,None,715 S. Forest St.,None,None
303-753-6046,Denver,80224.0,http://rmcad.edu/, ,Rocky Mountain College of Art and Design,None,6875 E. Evans Ave.,None,None
303-556-2400,Denver,80202.0,http://www.cudenver.edu/,YES,University of Colorado at Denver,None,1250 14th St.,None,None
303-372-0000,Denver,0.0, ,YES,University of Colorado Health Sciences Center,None,4200 E. 9th Ave.,None,None
303-871-2000,Denver,80208.0,http://www.du.edu/,YES,University of Denver,None,2199 S. University Blvd.,None,None
303-405-8555,Denver,80204.0,http://www.pepsicenter.com,YES,Pepsi Center,None,1000 Chopper Pl.,None,None
303-342-2000,Denver,80249.0,http://www.flydenver.com/, ,Denver International Airport,None,8500 Pena Blvd.,None,None
720-865-5000,Denver,80204.0,http://www.denverartmuseum.org/,YES,Denver Art Museum,None,100 W. 14th Ave. Parkway,None,None
303-477-1621,Denver,80211.0,http://www.lakesideamusementpark.com, ,Lakeside Amusement Park,None,4601 Sheridan Blvd.,None,None
