POI_PK,POI_Neighborhood_ID,POI_Neighborhood
1,17,Platt Park
2,10,CBD
3,10,CBD
4,63,Belcaro
5,24,Lincoln Park
6,14,City Park West
7,34,City Park
8,10,CBD
9,74,Elyria Swansea
10,39,Fort Logan
11,22,Capitol Hill
12,22,Capitol Hill
13,9,South Park Hill
14,34,City Park
15,29,Speer
16,10,CBD
17,73,Sun Valley
18,1,Washington Virginia Vale
19,22,Capitol Hill
20,74,Elyria Swansea
21,48,Jefferson Park
22,5,North Capitol Hill
23,43,Cherry Creek
24,10,CBD
25,51,Regis
26,49,Montclair
27,27,University
28,22,Capitol Hill
29,79,LoDo
30,79,LoDo
31,47,Civic Center
32,1,Washington Virginia Vale
33,56,Virginia Village
34,79,LoDo
35,42,Hale
36,27,University
37,78,Auraria
38,68,DIA
39,47,Civic Center
40,78,Auraria
41,14,City Park West
42,34,City Park
43,48,Jefferson Park
44,52,University Park
45,10,CBD
46,10,CBD
47,10,CBD
48,79,LoDo
49,79,LoDo
50,5,North Capitol Hill
51,5,North Capitol Hill
52,79,LoDo
53,10,CBD
54,10,CBD
55,79,LoDo
56,10,CBD
57,79,LoDo
58,78,Auraria
59,10,CBD
60,10,CBD
61,79,LoDo
62,10,CBD
63,79,LoDo
64,47,Civic Center
65,47,Civic Center
66,10,CBD
67,10,CBD
68,78,Auraria
69,18,Lowry Field
70,10,CBD
71,10,CBD
72,3,Five Points
73,10,CBD
74,47,Civic Center
75,22,Capitol Hill
76,3,Five Points
77,26,Cheesman Park
78,24,Lincoln Park
79,10,CBD
80,24,Lincoln Park
81,5,North Capitol Hill
