PropertyTypeID,PropertyTypeName
1,Entire guesthouse
2,Entire loft
3,Private room in residential home
4,Entire guest suite
5,Entire cottage
6,Entire condominium (condo)
7,Entire residential home
8,Private room in condominium (condo)
9,Entire rental unit
10,Entire townhouse
11,Private room in townhouse
12,Entire bungalow
13,Private room in bungalow
14,Private room in rental unit
15,Tiny house
16,Castle
17,Room in hostel
18,Shared room in residential home
19,Camper/RV
20,Private room in guest suite
21,Shared room in hostel
22,Private room in guesthouse
23,Entire serviced apartment
24,Private room in bed and breakfast
25,Shipping container
26,Private room in loft
27,Private room
28,Private room in hostel
29,Room in boutique hotel
30,Farm stay
31,Lighthouse
32,Room in bed and breakfast
33,Room in aparthotel
34,Private room in serviced apartment
35,Shared room in rental unit
36,Private room in villa
37,Room in hotel
38,Private room in castle
39,Shared room in condominium (condo)
40,Entire villa
41,Campsite
42,Entire vacation home
